"nome","idhm","renda","longevidade","educacao","ano"
"São Caetano do Sul",0.919,0.896,0.886,0.975,2000
"Águas de São Pedro",0.908,0.918,0.874,0.933,2000
"Niterói",0.886,0.891,0.808,0.96,2000
"Florianópolis",0.875,0.867,0.797,0.96,2000
"Santos",0.871,0.873,0.788,0.952,2000
"Bento Gonçalves",0.87,0.799,0.873,0.938,2000
"Balneário Camboriú",0.867,0.859,0.803,0.94,2000
"Joaçaba",0.866,0.793,0.856,0.949,2000
"Porto Alegre",0.865,0.869,0.775,0.951,2000
"Fernando de Noronha",0.862,0.829,0.835,0.923,2000
"Carlos Barbosa",0.858,0.791,0.841,0.942,2000
"Caxias do Sul",0.857,0.807,0.818,0.945,2000
"Joinville",0.857,0.776,0.859,0.936,2000
"Jundiaí",0.857,0.826,0.816,0.928,2000
"Vinhedo",0.857,0.848,0.831,0.893,2000
"Curitiba",0.856,0.846,0.776,0.946,2000
"Selbach",0.856,0.809,0.838,0.92,2000
"Vitória",0.856,0.858,0.762,0.948,2000
"Blumenau",0.855,0.797,0.824,0.945,2000
"Luzerna",0.855,0.742,0.879,0.943,2000
"Ribeirão Preto",0.855,0.823,0.823,0.918,2000
"Lacerdópolis",0.854,0.796,0.856,0.909,2000
"Santana de Parnaíba",0.853,0.88,0.772,0.906,2000
"Campinas",0.852,0.845,0.787,0.925,2000
"Ivoti",0.851,0.766,0.847,0.939,2000
"Quatro Pontes",0.851,0.73,0.878,0.944,2000
"Saltinho",0.851,0.776,0.872,0.906,2000
"Videira",0.851,0.742,0.867,0.945,2000
"Ilha Solteira",0.85,0.769,0.847,0.934,2000
"Jaraguá do Sul",0.85,0.779,0.819,0.952,2000
"Veranópolis",0.85,0.788,0.842,0.921,2000
"Concórdia",0.849,0.765,0.855,0.927,2000
"Iomerê",0.849,0.75,0.856,0.941,2000
"Pato Branco",0.849,0.759,0.851,0.937,2000
"Pomerode",0.849,0.768,0.827,0.952,2000
"São José",0.849,0.784,0.839,0.925,2000
"São José dos Campos",0.849,0.8,0.815,0.933,2000
"Araçatuba",0.848,0.811,0.825,0.909,2000
"Chapecó",0.848,0.747,0.855,0.943,2000
"Entre Rios do Oeste",0.847,0.745,0.872,0.923,2000
"Nova Petrópolis",0.847,0.777,0.847,0.916,2000
"Paulínia",0.847,0.811,0.805,0.924,2000
"Braço do Norte",0.846,0.786,0.833,0.919,2000
"Presidente Prudente",0.846,0.804,0.81,0.924,2000
"Maripá",0.845,0.729,0.875,0.931,2000
"Santa Maria",0.845,0.785,0.817,0.932,2000
"Urussanga",0.845,0.747,0.866,0.921,2000
"Brasília",0.844,0.842,0.756,0.935,2000
"Farroupilha",0.844,0.775,0.818,0.939,2000
"Nova Bassano",0.844,0.783,0.827,0.921,2000
"Garibaldi",0.843,0.795,0.818,0.916,2000
"Paraí",0.843,0.768,0.827,0.934,2000
"Santo Amaro da Imperatriz",0.843,0.718,0.834,0.978,2000
"São João da Boa Vista",0.843,0.776,0.865,0.889,2000
"São Marcos",0.843,0.766,0.839,0.923,2000
"São Sebastião do Caí",0.843,0.753,0.86,0.915,2000
"Timbó",0.843,0.771,0.806,0.953,2000
"Brusque",0.842,0.78,0.833,0.912,2000
"Esteio",0.842,0.757,0.828,0.942,2000
"Rio de Janeiro",0.842,0.84,0.754,0.933,2000
"Tubarão",0.842,0.766,0.836,0.924,2000
"Valinhos",0.842,0.832,0.782,0.911,2000
"Antônio Prado",0.841,0.78,0.818,0.926,2000
"Gramado",0.841,0.774,0.841,0.908,2000
"Maringá",0.841,0.798,0.787,0.938,2000
"Poços de Caldas",0.841,0.787,0.85,0.886,2000
"São Carlos",0.841,0.795,0.801,0.928,2000
"São Paulo",0.841,0.843,0.761,0.919,2000
"Americana",0.84,0.801,0.791,0.928,2000
"Luiz Alves",0.84,0.813,0.824,0.884,2000
"Belo Horizonte",0.839,0.828,0.759,0.929,2000
"Feliz",0.839,0.738,0.86,0.918,2000
"Flores da Cunha",0.839,0.8,0.818,0.899,2000
"Nova Prata",0.839,0.769,0.814,0.935,2000
"Osório",0.839,0.737,0.864,0.917,2000
"Pirassununga",0.839,0.774,0.836,0.907,2000
"São Lourenço",0.839,0.774,0.865,0.879,2000
"Ibiaçá",0.838,0.761,0.864,0.89,2000
"Lagoa dos Três Cantos",0.838,0.751,0.84,0.924,2000
"Lajeado",0.838,0.771,0.819,0.923,2000
"São Bento do Sul",0.838,0.738,0.848,0.929,2000
"São Miguel d'Oeste",0.838,0.727,0.878,0.908,2000
"Schroeder",0.838,0.757,0.838,0.919,2000
"Arroio do Meio",0.837,0.759,0.843,0.908,2000
"Campo Bom",0.837,0.76,0.849,0.903,2000
"Pareci Novo",0.837,0.733,0.872,0.905,2000
"Taubaté",0.837,0.797,0.796,0.918,2000
"Bom Princípio",0.836,0.73,0.86,0.917,2000
"Piracicaba",0.836,0.795,0.799,0.913,2000
"Cordeirópolis",0.835,0.759,0.864,0.881,2000
"Itapema",0.835,0.806,0.794,0.906,2000
"Massaranduba",0.835,0.735,0.88,0.89,2000
"Santo André",0.835,0.814,0.76,0.932,2000
"Tijucas",0.835,0.769,0.845,0.892,2000
"Caçapava",0.834,0.757,0.831,0.915,2000
"Chapadão do Céu",0.834,0.765,0.83,0.908,2000
"Dois Lajeados",0.834,0.767,0.827,0.907,2000
"Frederico Westphalen",0.834,0.723,0.842,0.937,2000
"Morro Reuter",0.834,0.738,0.847,0.918,2000
"Nova Araçá",0.834,0.786,0.799,0.916,2000
"São Bernardo do Campo",0.834,0.812,0.749,0.94,2000
"São José do Rio Preto",0.834,0.814,0.772,0.916,2000
"Tremembé",0.834,0.766,0.825,0.912,2000
"Uberaba",0.834,0.773,0.815,0.913,2000
