"city","state","idhm","income","longevity","education","year"
"São Caetano do Sul","SP",0.842,0.832,0.782,0.913,1991
"Águas de São Pedro","SP",0.848,0.834,0.811,0.898,1991
"Niterói","RJ",0.817,0.827,0.717,0.908,1991
"Florianópolis","SC",0.824,0.803,0.771,0.898,1991
"Santos","SP",0.838,0.825,0.775,0.913,1991
"Bento Gonçalves","RS",0.799,0.749,0.787,0.86,1991
"Balneário Camboriú","SC",0.797,0.782,0.751,0.857,1991
"Joaçaba","SC",0.816,0.752,0.814,0.881,1991
"Porto Alegre","RS",0.824,0.818,0.748,0.907,1991
"Fernando de Noronha","Distrito Estadual"","P,0.759,0.676,0.761,0.84,1991
"Carlos Barbosa","RS",0.768,0.721,0.743,0.839,1991
"Caxias do Sul","RS",0.793,0.764,0.756,0.858,1991
"Joinville","SC",0.779,0.729,0.761,0.846,1991
"Jundiaí","SP",0.807,0.777,0.788,0.855,1991
"Vinhedo","SP",0.789,0.763,0.78,0.825,1991
"Curitiba","PR",0.799,0.793,0.728,0.875,1991
"Selbach","RS",0.796,0.682,0.822,0.883,1991
"Vitória","ES",0.797,0.793,0.715,0.882,1991
"Blumenau","SC",0.813,0.762,0.81,0.867,1991
"Luzerna","SC",0.764,0.639,0.814,0.84,1991
"Ribeirão Preto","SP",0.822,0.798,0.8,0.869,1991
"Lacerdópolis","SC",0.734,0.649,0.76,0.792,1991
"Santana de Parnaíba","SP",0.79,0.836,0.746,0.788,1991
"Campinas","SP",0.811,0.815,0.746,0.871,1991
"Ivoti","RS",0.794,0.727,0.811,0.843,1991
"Quatro Pontes","PR",0.742,0.636,0.726,0.864,1991
"Saltinho","SP",0.781,0.742,0.767,0.835,1991
"Videira","SC",0.774,0.696,0.793,0.834,1991
"Ilha Solteira","SP",0.813,0.746,0.772,0.922,1991
"Jaraguá do Sul","SC",0.79,0.75,0.761,0.86,1991
"Veranópolis","RS",0.786,0.712,0.78,0.865,1991
"Concórdia","SC",0.774,0.689,0.808,0.824,1991
"Iomerê","SC",0.769,0.694,0.814,0.8,1991
"Pato Branco","PR",0.752,0.704,0.715,0.836,1991
"Pomerode","SC",0.765,0.688,0.762,0.846,1991
"São José","SC",0.798,0.729,0.801,0.863,1991
"São José dos Campos","SP",0.805,0.763,0.776,0.877,1991
"Araçatuba","SP",0.787,0.749,0.758,0.854,1991
"Chapecó","SC",0.761,0.676,0.799,0.807,1991
"Entre Rios do Oeste","PR",0.755,0.68,0.726,0.859,1991
"Nova Petrópolis","RS",0.791,0.713,0.822,0.837,1991
"Paulínia","SP",0.79,0.752,0.765,0.854,1991
"Braço do Norte","SC",0.739,0.632,0.8,0.786,1991
"Presidente Prudente","SP",0.794,0.76,0.766,0.856,1991
"Maripá","PR",0.747,0.672,0.74,0.828,1991
"Santa Maria","RS",0.792,0.735,0.756,0.885,1991
"Urussanga","SC",0.762,0.657,0.8,0.83,1991
"Brasília","DF",0.799,0.801,0.731,0.864,1991
"Farroupilha","RS",0.777,0.745,0.772,0.813,1991
"Nova Bassano","RS",0.771,0.687,0.808,0.817,1991
"Garibaldi","RS",0.773,0.727,0.743,0.848,1991
"Paraí","RS",0.78,0.686,0.808,0.846,1991
"Santo Amaro da Imperatriz","SC",0.74,0.632,0.798,0.791,1991
"São João da Boa Vista","SP",0.777,0.732,0.774,0.826,1991
"São Marcos","RS",0.788,0.737,0.81,0.817,1991
"São Sebastião do Caí","RS",0.74,0.7,0.7,0.821,1991
"Timbó","SC",0.772,0.712,0.762,0.843,1991
"Brusque","SC",0.775,0.733,0.758,0.835,1991
"Esteio","RS",0.763,0.708,0.701,0.879,1991
"Rio de Janeiro","RJ",0.798,0.794,0.714,0.887,1991
"Tubarão","SC",0.775,0.691,0.775,0.858,1991
"Valinhos","SP",0.78,0.765,0.746,0.829,1991
"Antônio Prado","RS",0.773,0.735,0.777,0.807,1991
"Gramado","RS",0.785,0.718,0.817,0.819,1991
"Maringá","PR",0.762,0.739,0.692,0.854,1991
"Poços de Caldas","MG",0.778,0.722,0.775,0.836,1991
"São Carlos","SP",0.803,0.773,0.777,0.859,1991
"São Paulo","SP",0.805,0.822,0.726,0.868,1991
"Americana","SP",0.798,0.773,0.768,0.852,1991
"Luiz Alves","SC",0.742,0.675,0.753,0.797,1991
"Belo Horizonte","MG",0.791,0.779,0.727,0.866,1991
"Feliz","RS",0.791,0.711,0.804,0.859,1991
"Flores da Cunha","RS",0.766,0.715,0.761,0.823,1991
"Nova Prata","RS",0.782,0.71,0.78,0.855,1991
"Osório","RS",0.774,0.71,0.794,0.819,1991
"Pirassununga","SP",0.778,0.751,0.741,0.842,1991
"São Lourenço","MG",0.743,0.664,0.738,0.828,1991
"Ibiaçá","RS",0.715,0.619,0.758,0.769,1991
"Lagoa dos Três Cantos","RS",0.774,0.67,0.794,0.859,1991
"Lajeado","RS",0.759,0.725,0.694,0.858,1991
"São Bento do Sul","SC",0.759,0.679,0.762,0.835,1991
"São Miguel d'Oeste","SC",0.759,0.656,0.791,0.829,1991
"Schroeder","SC",0.752,0.678,0.761,0.817,1991
"Arroio do Meio","RS",0.781,0.685,0.801,0.857,1991
"Campo Bom","RS",0.766,0.701,0.797,0.801,1991
"Pareci Novo","RS",0.768,0.673,0.809,0.822,1991
"Taubaté","SP",0.797,0.737,0.783,0.871,1991
"Bom Princípio","RS",0.762,0.666,0.761,0.858,1991
"Piracicaba","SP",0.789,0.76,0.75,0.857,1991
"Cordeirópolis","SP",0.759,0.711,0.737,0.828,1991
"Itapema","SC",0.725,0.681,0.696,0.797,1991
"Massaranduba","SC",0.769,0.708,0.803,0.795,1991
"Santo André","SP",0.808,0.786,0.756,0.882,1991
"Tijucas","SC",0.747,0.7,0.77,0.77,1991
"Caçapava","SP",0.761,0.72,0.727,0.835,1991
"Chapadão do Céu","GO",0.713,0.651,0.761,0.728,1991
"Dois Lajeados","RS",0.756,0.675,0.808,0.785,1991
"Frederico Westphalen","RS",0.746,0.657,0.749,0.833,1991
"Morro Reuter","RS",0.766,0.648,0.827,0.822,1991
"Nova Araçá","RS",0.759,0.728,0.706,0.842,1991
"São Bernardo do Campo","SP",0.806,0.805,0.732,0.882,1991
"São José do Rio Preto","SP",0.792,0.781,0.748,0.848,1991
"Tremembé","SP",0.765,0.728,0.724,0.844,1991
"Uberaba","MG",0.763,0.713,0.733,0.842,1991
"Boa Vista do Buricá","RS",0.753,0.602,0.781,0.877,1991
"Catanduva","SP",0.787,0.744,0.802,0.816,1991
"Harmonia","RS",0.744,0.688,0.709,0.836,1991
"Montenegro","RS",0.757,0.702,0.742,0.828,1991
"Não-Me-Toque","RS",0.786,0.695,0.822,0.841,1991
"Sertãozinho","SP",0.776,0.746,0.775,0.807,1991
"Boa Vista do Sul","RS",0.727,0.651,0.757,0.772,1991
"Fernandópolis","SP",0.775,0.721,0.785,0.82,1991
"Gaspar","SC",0.769,0.717,0.747,0.843,1991
"Goiânia","GO",0.778,0.755,0.718,0.862,1991
"Itapiranga","SC",0.748,0.607,0.787,0.85,1991
"Nova Pádua","RS",0.764,0.673,0.782,0.836,1991
"Palotina","PR",0.731,0.686,0.67,0.837,1991
"Presidente Castelo Branco","SC",0.736,0.647,0.758,0.802,1991
"Santa Rita do Passa Quatro","SP",0.764,0.701,0.791,0.801,1991
"Seara","SC",0.736,0.68,0.758,0.77,1991
"Serafina Corrêa","RS",0.776,0.698,0.808,0.821,1991
"Cunhataí","SC",0.723,0.567,0.791,0.811,1991
"Divinópolis","MG",0.755,0.67,0.764,0.831,1991
"Encantado","RS",0.777,0.721,0.772,0.837,1991
"Portão","RS",0.711,0.642,0.714,0.778,1991
"Santa Rosa","RS",0.747,0.672,0.724,0.844,1991
"Saudades","SC",0.724,0.585,0.791,0.795,1991
"Timóteo","MG",0.768,0.674,0.775,0.856,1991
"Victor Graeff","RS",0.758,0.626,0.794,0.853,1991
"Araraquara","SP",0.789,0.758,0.752,0.857,1991
"Marau","RS",0.762,0.688,0.782,0.815,1991
"Nova Roma do Sul","RS",0.723,0.657,0.713,0.799,1991
"Salvador do Sul","RS",0.76,0.639,0.807,0.835,1991
"Três de Maio","RS",0.75,0.628,0.777,0.845,1991
"Uberlândia","MG",0.778,0.728,0.758,0.848,1991
"Alfenas","MG",0.758,0.694,0.774,0.805,1991
"Assis","SP",0.774,0.727,0.742,0.853,1991
"Birigui","SP",0.753,0.723,0.737,0.799,1991
"Casca","RS",0.75,0.648,0.785,0.818,1991
"Estrela","RS",0.771,0.697,0.751,0.864,1991
"Guabiruba","SC",0.758,0.673,0.81,0.792,1991
"Indaiatuba","SP",0.765,0.734,0.747,0.815,1991
"Jaguariúna","SP",0.764,0.753,0.742,0.797,1991
"Marechal Cândido Rondon","PR",0.758,0.667,0.754,0.854,1991
"Araras","SP",0.766,0.735,0.75,0.814,1991
"Imigrante","RS",0.766,0.666,0.8,0.833,1991
"Iracemápolis","SP",0.785,0.742,0.785,0.829,1991
"Itatiba","SP",0.766,0.741,0.741,0.817,1991
"Juiz de Fora","MG",0.769,0.731,0.717,0.858,1991
"Ouro","SC",0.746,0.67,0.761,0.806,1991
