"name","state","population"
"Acrelândia","AC",7935
"Assis Brasil","AC",3490
"Brasiléia","AC",17013
"Bujari","AC",5826
"Capixaba","AC",5206
"Cruzeiro do Sul","AC",67441
"Epitaciolândia","AC",11028
"Feijó","AC",26722
"Jordão","AC",4454
"Mâncio Lima","AC",11095
"Manoel Urbano","AC",6374
"Marechal Thaumaturgo","AC",8295
"Plácido de Castro","AC",15172
"Porto Acre","AC",11418
"Porto Walter","AC",5485
"Rio Branco","AC",253059
"Rodrigues Alves","AC",8093
"Santa Rosa do Purus","AC",2246
"Sena Madureira","AC",29420
"Senador Guiomard","AC",19761
"Tarauacá","AC",26037
"Xapuri","AC",11956
"Água Branca","AL",18660
"Anadia","AL",17849
"Arapiraca","AL",186466
"Atalaia","AL",40552
"Barra de Santo Antônio","AL",11351
"Barra de São Miguel","AL",6379
"Batalha","AL",14799
"Belém","AL",5919
"Belo Monte","AL",6822
"Boca da Mata","AL",24227
"Branquinha","AL",11325
"Cacimbinhas","AL",9552
"Cajueiro","AL",18975
"Campestre","AL",6223
"Campo Alegre","AL",41028
"Campo Grande","AL",9134
"Canapi","AL",17334
"Capela","AL",18693
"Carneiros","AL",6585
"Chã Preta","AL",7760
"Coité do Nóia","AL",11993
"Colônia Leopoldina","AL",17493
"Coqueiro Seco","AL",5134
"Coruripe","AL",48846
"Craíbas","AL",20789
"Delmiro Gouveia","AL",42995
"Dois Riachos","AL",11066
"Estrela de Alagoas","AL",16341
"Feira Grande","AL",21270
"Feliz Deserto","AL",3836
"Flexeiras","AL",11979
"Girau do Ponciano","AL",29574
"Ibateguara","AL",15105
"Igaci","AL",25584
"Igreja Nova","AL",21451
"Inhapi","AL",17768
"Jacaré dos Homens","AL",5720
"Jacuípe","AL",7313
"Japaratinga","AL",6868
"Jaramataia","AL",5788
"Joaquim Gomes","AL",21488
"Jundiá","AL",4680
"Junqueiro","AL",23832
"Lagoa da Canoa","AL",19988
"Limoeiro de Anadia","AL",24263
"Maceió","AL",797759
"Major Isidoro","AL",17639
"Mar Vermelho","AL",4078
"Maragogi","AL",21832
"Maravilha","AL",13687
"Marechal Deodoro","AL",35866
"Maribondo","AL",15145
"Mata Grande","AL",25032
"Matriz de Camaragibe","AL",24017
"Messias","AL",11990
"Minador do Negrão","AL",5399
"Monteirópolis","AL",7240
"Murici","AL",24671
"Novo Lino","AL",10375
"Olho d`Água das Flores","AL",19417
"Olho d`Água do Casado","AL",7059
"Olho d`Água Grande","AL",4847
"Olivença","AL",10369
"Ouro Branco","AL",10077
"Palestina","AL",4523
"Palmeira dos Índios","AL",68060
"Pão de Açúcar","AL",24351
"Pariconha","AL",10086
"Paripueira","AL",8049
"Passo de Camaragibe","AL",13755
"Paulo Jacinto","AL",7485
"Penedo","AL",56993
"Piaçabuçu","AL",16775
"Pilar","AL",31201
"Pindoba","AL",2926
"Piranhas","AL",20007
"Poço das Trincheiras","AL",13222
"Porto Calvo","AL",23951
"Porto de Pedras","AL",10238
"Porto Real do Colégio","AL",18355
"Quebrangulo","AL",11902
"Rio Largo","AL",62510
"Roteiro","AL",6985
"Santa Luzia do Norte","AL",6388
"Santana do Ipanema","AL",41485
"Santana do Mundaú","AL",11534
"São Brás","AL",6551
"São José da Laje","AL",21071
"São José da Tapera","AL",27562
"São Luís do Quitunde","AL",29543
"São Miguel dos Campos","AL",51456
"São Miguel dos Milagres","AL",5860
"São Sebastião","AL",29124
"Satuba","AL",12555
"Senador Rui Palmeira","AL",11979
"Tanque d`Arca","AL",6594
"Taquarana","AL",17046
"Teotônio Vilela","AL",36881
"Traipu","AL",23439
"União dos Palmares","AL",58620
"Viçosa","AL",26263
"Amapá","AP",7121
"Calçoene","AP",6730
"Cutias","AP",3280
"Ferreira Gomes","AP",3562
"Itaubal","AP",2894
"Laranjal do Jari","AP",28515
"Macapá","AP",283308
"Mazagão","AP",11986
"Oiapoque","AP",12886
"Pedra Branca do Amaparí","AP",4009
"Porto Grande","AP",11042
"Pracuúba","AP",2286
"Santana","AP",80439
"Serra do Navio","AP",3293
"Tartarugalzinho","AP",7121
"Vitória do Jari","AP",8560
"Alvarães","AM",12150
"Amaturá","AM",7308
"Anamã.","AM",6563
"Anori","AM",11320
"Apuí","AM",13864
"Atalaia do Norte","AM",10049
"Autazes","AM",24345
"Barcelos","AM",24197
"Barreirinha","AM",22579
"Benjamin Constant","AM",23219
"Beruri","AM",11038
"Boa Vista do Ramos","AM",10482
"Boca do Acre","AM",26959
"Borba","AM",28619
"Caapiranga","AM",8803
"Canutama","AM",10737
"Carauari","AM",23421
"Careiro","AM",27554
"Careiro da Várzea","AM",17267
"Coari","AM",67096
"Codajás","AM",17507
"Eirunepé","AM",26074
"Envira","AM",19060
"Fonte Boa","AM",31509
"Guajará","AM",13220
"Humaitá","AM",32796
"Ipixuna","AM",14759
"Iranduba","AM",32303
"Itacoatiara","AM",72105
"Itamarati","AM",8406
"Itapiranga","AM",7309
"Japurá","AM",10285
"Juruá","AM",6584
"Jutaí","AM",22500
"Lábrea","AM",28956
"Manacapuru","AM",73695
"Manaquiri","AM",12711
"Manaus","AM",1405835
"Manicoré","AM",38038
"Maraã","AM",17079
"Maués","AM",40036
"Nhamundá","AM",15355
"Nova Olinda do Norte","AM",23725
"Novo Airão","AM",9651
"Novo Aripuanã","AM",17119
"Parintins","AM",90150
"Pauini","AM",17092
"Presidente Figueiredo","AM",17394
"Rio Preto da Eva","AM",17582
"Santa Isabel do Rio Negro","AM",10561
"Santo Antônio do Içá","AM",28213
"São Gabriel da Cachoeira","AM",29947
"São Paulo de Olivença","AM",23113
"São Sebastião do Uatumã","AM",7160
"Silves","AM",7785
"Tabatinga","AM",37919
"Tapauá","AM",20595
"Tefé","AM",64457
