"nome","habitantes"
"Acrelândia",7935
"Assis Brasil",3490
"Brasiléia",17013
"Bujari",5826
"Capixaba",5206
"Cruzeiro do Sul",67441
"Epitaciolândia",11028
"Feijó",26722
"Jordão",4454
"Mâncio Lima",11095
"Manoel Urbano",6374
"Marechal Thaumaturgo",8295
"Plácido de Castro",15172
"Porto Acre",11418
"Porto Walter",5485
"Rio Branco",253059
"Rodrigues Alves",8093
"Santa Rosa do Purus",2246
"Sena Madureira",29420
"Senador Guiomard",19761
"Tarauacá",26037
"Xapuri",11956
"Água Branca",18660
"Anadia",17849
"Arapiraca",186466
"Atalaia",40552
"Barra de Santo Antônio",11351
"Barra de São Miguel",6379
"Batalha",14799
"Belém",5919
"Belo Monte",6822
"Boca da Mata",24227
"Branquinha",11325
"Cacimbinhas",9552
"Cajueiro",18975
"Campestre",6223
"Campo Alegre",41028
"Campo Grande",9134
"Canapi",17334
"Capela",18693
"Carneiros",6585
"Chã Preta",7760
"Coité do Nóia",11993
"Colônia Leopoldina",17493
"Coqueiro Seco",5134
"Coruripe",48846
"Craíbas",20789
"Delmiro Gouveia",42995
"Dois Riachos",11066
"Estrela de Alagoas",16341
"Feira Grande",21270
"Feliz Deserto",3836
"Flexeiras",11979
"Girau do Ponciano",29574
"Ibateguara",15105
"Igaci",25584
"Igreja Nova",21451
"Inhapi",17768
"Jacaré dos Homens",5720
"Jacuípe",7313
"Japaratinga",6868
"Jaramataia",5788
"Joaquim Gomes",21488
"Jundiá",4680
"Junqueiro",23832
"Lagoa da Canoa",19988
"Limoeiro de Anadia",24263
"Maceió",797759
"Major Isidoro",17639
"Mar Vermelho",4078
"Maragogi",21832
"Maravilha",13687
"Marechal Deodoro",35866
"Maribondo",15145
"Mata Grande",25032
"Matriz de Camaragibe",24017
"Messias",11990
"Minador do Negrão",5399
"Monteirópolis",7240
"Murici",24671
"Novo Lino",10375
"Olho d`Água das Flores",19417
"Olho d`Água do Casado",7059
"Olho d`Água Grande",4847
"Olivença",10369
"Ouro Branco",10077
"Palestina",4523
"Palmeira dos Índios",68060
"Pão de Açúcar",24351
"Pariconha",10086
"Paripueira",8049
"Passo de Camaragibe",13755
